name,position,party,bio
Sarah Johnson,President,Progressive Alliance,Experienced leader with 5 years in student government.
Michael Chen,President,Unity Party,Current VP with vision for modernizing campus facilities.
Emma Williams,President,Independent,Fresh perspective on student life and diversity initiatives.
James Rodriguez,Vice President,Progressive Alliance,Dedicated team player with experience in event management.
Olivia Martinez,Vice President,Unity Party,Strong communicator focused on bridging gaps.
David Kim,Vice President,Tech Forward,Technology enthusiast aiming to bring digital innovation.
Sophia Brown,Secretary,Unity Party,Detail-oriented organizer with excellent communication skills.
Lucas Anderson,Secretary,Independent,Experienced in documentation and record-keeping.
Ava Thompson,Secretary,Progressive Alliance,Skilled writer committed to keeping students informed.
Noah Davis,Treasurer,Fiscal Responsibility,Economics major with strong financial acumen.
Isabella Garcia,Treasurer,Unity Party,Accounting background with focus on transparency.
Ethan Wilson,Treasurer,Independent,Business student dedicated to maximizing value.
